Year,Winner,Winner_score,Final_venue
1975,West Indies,291,"Lord's, London"
1979,West Indies,286,"Lord's, London"
1983,India,183,"Lord's, London"
1987,Australia,253,"Eden Gardens, Kolkata"
1992,Pakistan,249,"MCG, Melbourne"
1996,Sri Lanka,245,"Gaddafi Stadium, Lahore"
1999,Australia,133,"Lord's, London"
2003,Australia,359,"Wanderers, Johannesburg"
2007,Australia,281,"Kensington Oval, Barbados"
2011,India,277,"Wankhede Stadium, Mumbai"
2015,Australia,186,"MCG, Melbourne"
2019,England,241,"Lord's, London"
2023,Australia,241,"Narendra Modi Stadium, Ahmedabad"
